PowerConsumptionPredictionExperiment_23-03-2022_637836736985582487.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :4.166666666666666 	 
Cycle: 2 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 1
Cycle: 3 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 2
Cycle: 4 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 3
Cycle: 5 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 4
Cycle: 6 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 5
Cycle: 7 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 6
Cycle: 8 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 7
Cycle: 9 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 8
Cycle: 10 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 9
Cycle: 11 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 10
Cycle: 12 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 11
Cycle: 13 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 12
Cycle: 14 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 13
Cycle: 15 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 14
Cycle: 16 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 15
Cycle: 17 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 16
Cycle: 18 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 17
Cycle: 19 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 18
Cycle: 20 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 19
Cycle: 21 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 20
Cycle: 22 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 21
Cycle: 23 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 22
Cycle: 24 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 23
Cycle: 25 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 24
Cycle: 26 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 25
Cycle: 27 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 26
Cycle: 28 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 27
Cycle: 29 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 28
Cycle: 30 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 29
Cycle: 31 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 30
Cycle: 32 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 31
Cycle: 33 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 32
Cycle: 34 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 33
Cycle: 35 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 34
Cycle: 36 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 35
Cycle: 37 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 36
Cycle: 38 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 37
Cycle: 39 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 38
Cycle: 40 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 39
Cycle: 41 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 40
Cycle: 42 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 41
Cycle: 43 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 42
Cycle: 44 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 43
Cycle: 45 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 44
Cycle: 46 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 45
Cycle: 47 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 46
Cycle: 48 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 47
Cycle: 49 	 Saturated Accuracy : 4.166666666666666 	 Number of times repeated 48
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :8.333333333333332 	 
cycle : 2 	 Accuracy :0 	 
cycle : 3 	 Accuracy :0 	 
cycle : 4 	 Accuracy :4.166666666666666 	 
cycle : 5 	 Accuracy :0 	 
cycle : 6 	 Accuracy :0 	 
cycle : 7 	 Accuracy :16.666666666666664 	 
cycle : 8 	 Accuracy :20.833333333333336 	 
cycle : 9 	 Accuracy :16.666666666666664 	 
cycle : 10 	 Accuracy :25 	 
cycle : 11 	 Accuracy :8.333333333333332 	 
cycle : 12 	 Accuracy :20.833333333333336 	 
cycle : 13 	 Accuracy :8.333333333333332 	 
cycle : 14 	 Accuracy :12.5 	 
Cycle: 15 	 Saturated Accuracy : 12.5 	 Number of times repeated 1
