PowerConsumptionPredictionExperiment18-03-2022_637832097656905874.txt
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :12.5 	 
cycle : 3 	 Accuracy :25 	 
cycle : 4 	 Accuracy :37.5 	 
cycle : 5 	 Accuracy :20.833333333333336 	 
cycle : 6 	 Accuracy :45.83333333333333 	 
cycle : 7 	 Accuracy :50 	 
cycle : 8 	 Accuracy :45.83333333333333 	 
cycle : 9 	 Accuracy :41.66666666666667 	 
cycle : 10 	 Accuracy :45.83333333333333 	 
cycle : 11 	 Accuracy :50 	 
cycle : 12 	 Accuracy :41.66666666666667 	 
cycle : 13 	 Accuracy :54.166666666666664 	 
cycle : 14 	 Accuracy :50 	 
Cycle: 15 	 Saturated Accuracy : 50 	 Number of times repeated 1
cycle : 16 	 Accuracy :54.166666666666664 	 
cycle : 17 	 Accuracy :66.66666666666666 	 
cycle : 18 	 Accuracy :62.5 	 
cycle : 19 	 Accuracy :54.166666666666664 	 
cycle : 20 	 Accuracy :66.66666666666666 	 
cycle : 21 	 Accuracy :75 	 
Cycle: 22 	 Saturated Accuracy : 75 	 Number of times repeated 1
Cycle: 23 	 Saturated Accuracy : 75 	 Number of times repeated 2
Cycle: 24 	 Saturated Accuracy : 75 	 Number of times repeated 3
Cycle: 25 	 Saturated Accuracy : 75 	 Number of times repeated 4
cycle : 26 	 Accuracy :70.83333333333334 	 
cycle : 27 	 Accuracy :75 	 
Cycle: 28 	 Saturated Accuracy : 75 	 Number of times repeated 1
cycle : 29 	 Accuracy :83.33333333333334 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :4.166666666666666 	 
cycle : 3 	 Accuracy :25 	 
Cycle: 4 	 Saturated Accuracy : 25 	 Number of times repeated 1
cycle : 5 	 Accuracy :12.5 	 
cycle : 6 	 Accuracy :25 	 
cycle : 7 	 Accuracy :58.333333333333336 	 
cycle : 8 	 Accuracy :25 	 
cycle : 9 	 Accuracy :20.833333333333336 	 
cycle : 10 	 Accuracy :45.83333333333333 	 
Cycle: 11 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
cycle : 12 	 Accuracy :37.5 	 
cycle : 13 	 Accuracy :50 	 
cycle : 14 	 Accuracy :37.5 	 
cycle : 15 	 Accuracy :54.166666666666664 	 
cycle : 16 	 Accuracy :75 	 
cycle : 17 	 Accuracy :66.66666666666666 	 
cycle : 18 	 Accuracy :37.5 	 
cycle : 19 	 Accuracy :45.83333333333333 	 
cycle : 20 	 Accuracy :66.66666666666666 	 
cycle : 21 	 Accuracy :58.333333333333336 	 
Cycle: 22 	 Saturated Accuracy : 58.333333333333336 	 Number of times repeated 1
cycle : 23 	 Accuracy :41.66666666666667 	 
cycle : 24 	 Accuracy :58.333333333333336 	 
cycle : 25 	 Accuracy :79.16666666666666 	 
cycle : 26 	 Accuracy :75 	 
cycle : 27 	 Accuracy :33.33333333333333 	 
cycle : 28 	 Accuracy :45.83333333333333 	 
cycle : 29 	 Accuracy :75 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :8.333333333333332 	 
cycle : 2 	 Accuracy :12.5 	 
cycle : 3 	 Accuracy :33.33333333333333 	 
cycle : 4 	 Accuracy :29.166666666666668 	 
Cycle: 5 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 1
cycle : 6 	 Accuracy :45.83333333333333 	 
cycle : 7 	 Accuracy :37.5 	 
cycle : 8 	 Accuracy :62.5 	 
cycle : 9 	 Accuracy :29.166666666666668 	 
cycle : 10 	 Accuracy :45.83333333333333 	 
Cycle: 11 	 Saturated Accuracy : 45.83333333333333 	 Number of times repeated 1
cycle : 12 	 Accuracy :50 	 
cycle : 13 	 Accuracy :54.166666666666664 	 
cycle : 14 	 Accuracy :41.66666666666667 	 
cycle : 15 	 Accuracy :54.166666666666664 	 
cycle : 16 	 Accuracy :41.66666666666667 	 
cycle : 17 	 Accuracy :58.333333333333336 	 
cycle : 18 	 Accuracy :66.66666666666666 	 
cycle : 19 	 Accuracy :45.83333333333333 	 
cycle : 20 	 Accuracy :54.166666666666664 	 
cycle : 21 	 Accuracy :33.33333333333333 	 
cycle : 22 	 Accuracy :75 	 
cycle : 23 	 Accuracy :70.83333333333334 	 
cycle : 24 	 Accuracy :54.166666666666664 	 
cycle : 25 	 Accuracy :79.16666666666666 	 
cycle : 26 	 Accuracy :50 	 
cycle : 27 	 Accuracy :70.83333333333334 	 
cycle : 28 	 Accuracy :29.166666666666668 	 
cycle : 29 	 Accuracy :58.333333333333336 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :0 	 
cycle : 2 	 Accuracy :25 	 
cycle : 3 	 Accuracy :20.833333333333336 	 
cycle : 4 	 Accuracy :25 	 
cycle : 5 	 Accuracy :4.166666666666666 	 
cycle : 6 	 Accuracy :25 	 
cycle : 7 	 Accuracy :41.66666666666667 	 
cycle : 8 	 Accuracy :12.5 	 
cycle : 9 	 Accuracy :25 	 
cycle : 10 	 Accuracy :16.666666666666664 	 
cycle : 11 	 Accuracy :66.66666666666666 	 
cycle : 12 	 Accuracy :45.83333333333333 	 
cycle : 13 	 Accuracy :33.33333333333333 	 
Cycle: 14 	 Saturated Accuracy : 33.33333333333333 	 Number of times repeated 1
cycle : 15 	 Accuracy :29.166666666666668 	 
cycle : 16 	 Accuracy :58.333333333333336 	 
cycle : 17 	 Accuracy :41.66666666666667 	 
cycle : 18 	 Accuracy :37.5 	 
Cycle: 19 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
cycle : 20 	 Accuracy :25 	 
cycle : 21 	 Accuracy :50 	 
cycle : 22 	 Accuracy :20.833333333333336 	 
cycle : 23 	 Accuracy :45.83333333333333 	 
cycle : 24 	 Accuracy :41.66666666666667 	 
cycle : 25 	 Accuracy :54.166666666666664 	 
cycle : 26 	 Accuracy :37.5 	 
cycle : 27 	 Accuracy :33.33333333333333 	 
cycle : 28 	 Accuracy :62.5 	 
cycle : 29 	 Accuracy :50 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :0 	 
cycle : 1 	 Accuracy :4.166666666666666 	 
cycle : 2 	 Accuracy :16.666666666666664 	 
cycle : 3 	 Accuracy :12.5 	 
cycle : 4 	 Accuracy :20.833333333333336 	 
cycle : 5 	 Accuracy :33.33333333333333 	 
cycle : 6 	 Accuracy :12.5 	 
cycle : 7 	 Accuracy :25 	 
cycle : 8 	 Accuracy :33.33333333333333 	 
cycle : 9 	 Accuracy :41.66666666666667 	 
cycle : 10 	 Accuracy :25 	 
Cycle: 11 	 Saturated Accuracy : 25 	 Number of times repeated 1
cycle : 12 	 Accuracy :33.33333333333333 	 
cycle : 13 	 Accuracy :37.5 	 
Cycle: 14 	 Saturated Accuracy : 37.5 	 Number of times repeated 1
cycle : 15 	 Accuracy :29.166666666666668 	 
Cycle: 16 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 1
Cycle: 17 	 Saturated Accuracy : 29.166666666666668 	 Number of times repeated 2
cycle : 18 	 Accuracy :45.83333333333333 	 
cycle : 19 	 Accuracy :33.33333333333333 	 
cycle : 20 	 Accuracy :41.66666666666667 	 
Cycle: 21 	 Saturated Accuracy : 41.66666666666667 	 Number of times repeated 1
cycle : 22 	 Accuracy :54.166666666666664 	 
cycle : 23 	 Accuracy :45.83333333333333 	 
cycle : 24 	 Accuracy :33.33333333333333 	 
cycle : 25 	 Accuracy :37.5 	 
cycle : 26 	 Accuracy :50 	 
cycle : 27 	 Accuracy :37.5 	 
cycle : 28 	 Accuracy :54.166666666666664 	 
cycle : 29 	 Accuracy :50 	 
****Sequence Ending*****
******Sequence Starting*****
cycle : 0 	 Accuracy :4.166666666666666 	 
cycle : 1 	 Accuracy :12.5 	 
