position,song,artist,popularity,album_type,total_track,release_date
47,Queen of Kings,Alessandra,86,single,1,09-01-2023
48,Yellow,Coldplay,91,album,10,10-07-2000
49,Frágil,Yahritza Y Su Esencia & Grupo Frontera,89,single,1,07-04-2023
50,El Gordo Trae El Mando,Chino Pacas,92,single,1,27-01-2023
1,Ella Baila Sola,Eslabon Armado,90,album,16,28-04-2023
2,un x100to,Grupo Frontera & Bad Bunny,100,single,1,17-04-2023
3,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,single,2,17-03-2023
4,Cupid - Twin Ver.,FIFTY FIFTY,98,single,3,24-02-2023
5,Flowers,Miley Cyrus,91,album,13,10-03-2023
6,Daylight,David Kushner,97,single,1,14-04-2023
7,Kill Bill,SZA,94,album,23,08-12-2022
8,As It Was,Harry Styles,92,album,13,20-05-2022
9,Acróstico,Shakira,85,single,1,11-05-2023
10,TQG,KAROL G,96,album,17,24-02-2023
11,Classy 101,Feid & Young Miko,95,single,1,31-03-2023
12,Tattoo,Loreen,90,single,1,25-02-2023
13,BESO,ROSALÍA & Rauw Alejandro,96,single,3,24-03-2023
14,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,album,15,02-12-2022
15,Die For You (with Ariana Grande) - Remix,The Weeknd,88,album,21,14-03-2023
16,Yandel 150,Yandel,90,album,17,13-01-2023
17,Calm Down (with Selena Gomez),Rema,79,album,22,27-04-2023
18,See You Again (feat. Kali Uchis),Tyler The Creator,94,album,14,21-07-2017
19,PRC,Peso Pluma & Natanael Cano,96,single,1,23-01-2023
20,El Azul,Junior H & Peso Pluma,95,single,1,10-02-2023
21,Cha Cha Cha,Käärijä,88,single,1,17-01-2023
22,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,96,single,2,03-02-2023
23,Angel Pt. 1,Fast & Furious: The Fast Saga,27,compilation,21,19-05-2023
24,Anti-Hero,Taylor Swift,94,album,13,21-10-2022
25,Like Crazy,Jimin,93,single,6,24-03-2023
26,Last Night,Morgan Wallen,89,album,36,03-03-2023
27,All My Life (feat. J. Cole),Lil Durk & J. Cole,86,single,1,12-05-2023
28,Die For You,The Weeknd,91,album,18,24-11-2016
29,I Wanna Be Yours,Arctic Monkeys,94,album,12,09-09-2013
30,I'm Good (Blue),David Guetta & Bebe Rexha,94,single,2,26-08-2022
31,Angels Like You,Miley Cyrus,91,album,15,27-11-2020
32,AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,95,single,1,24-11-2022
33,Here With Me,d4vd,94,single,1,22-09-2022
34,golden hour,JVKE,90,album,12,23-09-2022
35,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez & Em Beihold,93,single,1,22-04-2022
36,Shakira: Bzrp Music Sessions Vol. 53,Bizarrap & Shakira,95,single,1,11-01-2023
37,Moonlight,Kali Uchis,87,album,15,03-03-2023
38,Another Love,Tom Odell,63,album,10,17-06-2013
39,Starboy,The Weeknd,93,album,18,25-11-2016
40,Unholy (feat. Kim Petras),Sam Smith,86,album,13,27-01-2023
41,Hey Mor,Ozuna,91,album,18,07-10-2022
42,Cruel Summer,Taylor Swift,92,album,18,23-08-2019
43,I Ain't Worried,OneRepublic,56,album,18,15-02-2023
44,La Bachata,Manuel Turizo,86,album,15,17-03-2023
45,Por las Noches,Peso Pluma,93,single,1,11-06-2021
46,People,Libianca,92,single,1,06-12-2022
47,Yellow,Coldplay,91,album,10,10-07-2000
48,Frágil,Yahritza Y Su Esencia & Grupo Frontera,90,single,1,07-04-2023
49,Mockingbird,Eminem,92,album,23,12-11-2004
50,MATHEMATICAL DISRESPECT,Lil Mabu,85,single,1,05-05-2023
1,WHERE SHE GOES,Bad Bunny,82,single,1,18-05-2023
2,Ella Baila Sola,Eslabon Armado,90,album,16,28-04-2023
3,un x100to,Grupo Frontera & Bad Bunny,100,single,1,17-04-2023
4,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,single,2,17-03-2023
5,Cupid - Twin Ver.,FIFTY FIFTY,98,single,3,24-02-2023
6,Flowers,Miley Cyrus,91,album,13,10-03-2023
7,Say Yes To Heaven,Lana Del Rey,77,single,2,19-05-2023
8,Daylight,David Kushner,97,single,1,14-04-2023
9,Angel Pt. 1,Fast & Furious: The Fast Saga & Jimin & BTS,77,single,2,17-05-2023
10,Kill Bill,SZA,94,album,23,08-12-2022
11,Acróstico,Shakira,86,single,1,11-05-2023
12,As It Was,Harry Styles,92,album,13,20-05-2022
13,Classy 101,Feid & Young Miko,95,single,1,31-03-2023
14,TQG,KAROL G,96,album,17,24-02-2023
15,Tattoo,Loreen,91,single,1,25-02-2023
16,BESO,ROSALÍA & Rauw Alejandro,96,single,3,24-03-2023
17,Yandel 150,Yandel,90,album,17,13-01-2023
18,Calm Down (with Selena Gomez),Rema,79,album,22,27-04-2023
19,PRC,Peso Pluma & Natanael Cano,96,single,1,23-01-2023
20,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,album,15,02-12-2022
21,El Azul,Junior H & Peso Pluma,95,single,1,10-02-2023
22,Die For You (with Ariana Grande) - Remix,The Weeknd,88,album,21,14-03-2023
23,See You Again (feat. Kali Uchis),Tyler The Creator,94,album,14,21-07-2017
24,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,96,single,2,03-02-2023
25,Cha Cha Cha,Käärijä,88,single,1,17-01-2023
26,Last Night,Morgan Wallen,89,album,36,03-03-2023
27,All My Life (feat. J. Cole),Lil Durk & J. Cole,87,single,1,12-05-2023
28,Anti-Hero,Taylor Swift,94,album,13,21-10-2022
29,I'm Good (Blue),David Guetta & Bebe Rexha,94,single,2,26-08-2022
