position,song,artist,popularity,album_type,total_track,release_date
20,Daylight,David Kushner,98,single,1,14-04-2023
21,Kill Bill,SZA,95,album,23,08-12-2022
22,Columbia,Quevedo,82,single,1,07-07-2023
23,The Story Of Us (Taylor's Version),Taylor Swift,84,album,22,07-07-2023
24,Mean (Taylor's Version),Taylor Swift,84,album,22,07-07-2023
25,Classy 101,Feid & Young Miko,97,single,1,31-03-2023
26,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift,83,album,22,07-07-2023
27,LADY GAGA,Peso Pluma,89,album,17,29-06-2023
28,Peso Pluma: Bzrp Music Sessions Vol. 55,Bizarrap & Peso Pluma,97,single,1,01-06-2023
29,fukumean,Gunna,92,album,15,16-06-2023
30,When Emma Falls in Love (Taylor’s Version) (From The Vault),Taylor Swift,83,album,22,07-07-2023
31,SABOR FRESA,Fuerza Regida,92,single,1,22-06-2023
32,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Taylor Swift,83,album,22,07-07-2023
33,Super Shy,NewJeans,81,single,2,07-07-2023
34,Haunted (Taylor's Version),Taylor Swift,83,album,22,07-07-2023
35,MOJABI GHOST,Tainy,90,album,19,29-06-2023
36,I Wanna Be Yours,Arctic Monkeys,96,album,12,09-09-2013
37,El Azul,Junior H & Peso Pluma,95,single,1,10-02-2023
38,TQM,Fuerza Regida,95,single,1,19-05-2023
39,Long Live (Taylor's Version),Taylor Swift,82,album,22,07-07-2023
40,Foolish One (Taylor’s Version) (From The Vault),Taylor Swift,82,album,22,07-07-2023
41,Calm Down (with Selena Gomez),Rema,83,album,22,27-04-2023
42,TQG,KAROL G,95,album,17,24-02-2023
43,TULUM,Peso Pluma,88,album,17,29-06-2023
44,Last Kiss (Taylor's Version),Taylor Swift,82,album,22,07-07-2023
45,Los del Espacio,LIT killah,95,single,1,01-06-2023
46,Timeless (Taylor’s Version) (From The Vault),Taylor Swift,82,album,22,07-07-2023
47,Style,Taylor Swift,83,album,13,27-10-2014
48,Last Night,Morgan Wallen,90,album,36,03-03-2023
49,Blank Space,Taylor Swift,84,album,13,27-10-2014
50,Like Crazy,Jimin,96,single,6,24-03-2023
1,LALA,Myke Towers,93,album,23,23-03-2023
2,vampire,Olivia Rodrigo,96,single,1,30-06-2023
3,Cruel Summer,Taylor Swift,99,album,18,23-08-2019
4,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,88,album,22,07-07-2023
5,Ella Baila Sola,Eslabon Armado,93,album,16,28-04-2023
6,WHERE SHE GOES,Bad Bunny,100,single,1,18-05-2023
7,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,single,2,17-03-2023
8,un x100to,Grupo Frontera & Bad Bunny,99,single,1,17-04-2023
9,Back To December (Taylor's Version),Taylor Swift,88,album,22,07-07-2023
10,Enchanted (Taylor's Version),Taylor Swift,87,album,22,07-07-2023
11,Flowers,Miley Cyrus,91,album,13,10-03-2023
12,Mine (Taylor's Version),Taylor Swift,88,album,22,07-07-2023
13,Sprinter,Dave & Central Cee,96,single,1,01-06-2023
14,As It Was,Harry Styles,94,album,13,20-05-2022
15,Daylight,David Kushner,98,single,1,14-04-2023
16,Cupid - Twin Ver.,FIFTY FIFTY,98,single,3,24-02-2023
17,Kill Bill,SZA,95,album,23,08-12-2022
18,Super Shy,NewJeans,84,single,2,07-07-2023
19,Columbia,Quevedo,84,single,1,07-07-2023
20,fukumean,Gunna,92,album,15,16-06-2023
21,Sparks Fly (Taylor’s Version),Taylor Swift,87,album,22,07-07-2023
22,Speak Now (Taylor's Version),Taylor Swift,86,album,22,07-07-2023
23,Better Than Revenge (Taylor's Version),Taylor Swift,86,album,22,07-07-2023
24,LADY GAGA,Peso Pluma,90,album,17,29-06-2023
25,Classy 101,Feid & Young Miko,97,single,1,31-03-2023
26,SABOR FRESA,Fuerza Regida,92,single,1,22-06-2023
27,Dear John (Taylor's Version),Taylor Swift,86,album,22,07-07-2023
28,Peso Pluma: Bzrp Music Sessions Vol. 55,Bizarrap & Peso Pluma,97,single,1,01-06-2023
29,I Wanna Be Yours,Arctic Monkeys,96,album,12,09-09-2013
30,El Azul,Junior H & Peso Pluma,95,single,1,10-02-2023
31,TQM,Fuerza Regida,95,single,1,19-05-2023
32,MOJABI GHOST,Tainy,91,album,19,29-06-2023
33,The Story Of Us (Taylor's Version),Taylor Swift,85,album,22,07-07-2023
34,TULUM,Peso Pluma,88,album,17,29-06-2023
35,Calm Down (with Selena Gomez),Rema,83,album,22,27-04-2023
36,Mean (Taylor's Version),Taylor Swift,85,album,22,07-07-2023
37,Style,Taylor Swift,83,album,13,27-10-2014
38,Last Night,Morgan Wallen,90,album,36,03-03-2023
39,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift,85,album,22,07-07-2023
40,Blank Space,Taylor Swift,84,album,13,27-10-2014
41,TQG,KAROL G,95,album,17,24-02-2023
42,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,album,15,02-12-2022
43,Like Crazy,Jimin,96,single,6,24-03-2023
44,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,88,single,1,02-06-2023
45,Anti-Hero,Taylor Swift,95,album,13,21-10-2022
46,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,89,album,17,06-09-2019
47,Los del Espacio,LIT killah,95,single,1,01-06-2023
48,When Emma Falls in Love (Taylor’s Version) (From The Vault),Taylor Swift,85,album,22,07-07-2023
49,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Taylor Swift,85,album,22,07-07-2023
50,Frágil,Yahritza Y Su Esencia & Grupo Frontera,94,single,1,07-04-2023
1,LALA,Myke Towers,94,album,23,23-03-2023
2,vampire,Olivia Rodrigo,97,single,1,30-06-2023
3,Cruel Summer,Taylor Swift,99,album,18,23-08-2019
4,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,89,album,22,07-07-2023
5,Ella Baila Sola,Eslabon Armado,93,album,16,28-04-2023
6,WHERE SHE GOES,Bad Bunny,100,single,1,18-05-2023
7,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,single,2,17-03-2023
8,Sprinter,Dave & Central Cee,96,single,1,01-06-2023
9,Columbia,Quevedo,86,single,1,07-07-2023
10,Flowers,Miley Cyrus,91,album,13,10-03-2023
11,Daylight,David Kushner,98,single,1,14-04-2023
12,un x100to,Grupo Frontera & Bad Bunny,99,single,1,17-04-2023
13,As It Was,Harry Styles,94,album,13,20-05-2022
14,Super Shy,NewJeans,86,single,2,07-07-2023
15,Back To December (Taylor's Version),Taylor Swift,89,album,22,07-07-2023
16,fukumean,Gunna,93,album,15,16-06-2023
17,Kill Bill,SZA,95,album,23,08-12-2022
18,Enchanted (Taylor's Version),Taylor Swift,88,album,22,07-07-2023
19,Cupid - Twin Ver.,FIFTY FIFTY,98,single,3,24-02-2023
20,Mine (Taylor's Version),Taylor Swift,89,album,22,07-07-2023
21,Classy 101,Feid & Young Miko,97,single,1,31-03-2023
22,LADY GAGA,Peso Pluma,90,album,17,29-06-2023
23,MOJABI GHOST,Tainy,91,album,19,29-06-2023
24,Sparks Fly (Taylor’s Version),Taylor Swift,88,album,22,07-07-2023
25,I Wanna Be Yours,Arctic Monkeys,96,album,12,09-09-2013
26,SABOR FRESA,Fuerza Regida,93,single,1,22-06-2023
27,Speak Now (Taylor's Version),Taylor Swift,87,album,22,07-07-2023
28,Better Than Revenge (Taylor's Version),Taylor Swift,87,album,22,07-07-2023
29,Peso Pluma: Bzrp Music Sessions Vol. 55,Bizarrap & Peso Pluma,97,single,1,01-06-2023
30,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,89,single,1,02-06-2023
31,Dear John (Taylor's Version),Taylor Swift,87,album,22,07-07-2023
32,Style,Taylor Swift,83,album,13,27-10-2014
33,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,album,15,02-12-2022
34,Blank Space,Taylor Swift,84,album,13,27-10-2014
35,Calm Down (with Selena Gomez),Rema,83,album,22,27-04-2023
36,Los del Espacio,LIT killah,95,single,1,01-06-2023
37,Last Night,Morgan Wallen,90,album,36,03-03-2023
38,TQM,Fuerza Regida,95,single,1,19-05-2023
39,TQG,KAROL G,95,album,17,24-02-2023
40,TULUM,Peso Pluma,89,album,17,29-06-2023
41,Anti-Hero,Taylor Swift,95,album,13,21-10-2022
42,Like Crazy,Jimin,96,single,6,24-03-2023
43,El Azul,Junior H & Peso Pluma,95,single,1,10-02-2023
44,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,89,album,17,06-09-2019
45,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift,86,album,22,07-07-2023
46,The Story Of Us (Taylor's Version),Taylor Swift,86,album,22,07-07-2023
47,Die For You,The Weeknd,92,album,18,24-11-2016
48,Die For You (with Ariana Grande) - Remix,The Weeknd,88,album,21,14-03-2023
49,See You Again (feat. Kali Uchis),Tyler The Creator,96,album,14,21-07-2017
50,Angels Like You,Miley Cyrus,95,album,15,27-11-2020
1,LALA,Myke Towers,94,album,23,23-03-2023
2,vampire,Olivia Rodrigo,97,single,1,30-06-2023
3,Cruel Summer,Taylor Swift,99,album,18,23-08-2019
4,WHERE SHE GOES,Bad Bunny,100,single,1,18-05-2023
5,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,90,album,22,07-07-2023
6,Ella Baila Sola,Eslabon Armado,93,album,16,28-04-2023
7,Sprinter,Dave & Central Cee,96,single,1,01-06-2023
8,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,single,2,17-03-2023
9,Flowers,Miley Cyrus,91,album,13,10-03-2023
10,Daylight,David Kushner,98,single,1,14-04-2023
11,un x100to,Grupo Frontera & Bad Bunny,99,single,1,17-04-2023
12,As It Was,Harry Styles,94,album,13,20-05-2022
13,Super Shy,NewJeans,88,single,2,07-07-2023
14,fukumean,Gunna,93,album,15,16-06-2023
15,Columbia,Quevedo,87,single,1,07-07-2023
16,Kill Bill,SZA,95,album,23,08-12-2022
17,Cupid - Twin Ver.,FIFTY FIFTY,98,single,3,24-02-2023
18,Classy 101,Feid & Young Miko,97,single,1,31-03-2023
19,Back To December (Taylor's Version),Taylor Swift,89,album,22,07-07-2023
20,Enchanted (Taylor's Version),Taylor Swift,89,album,22,07-07-2023
21,LADY GAGA,Peso Pluma,91,album,17,29-06-2023
22,MOJABI GHOST,Tainy,92,album,19,29-06-2023
23,I Wanna Be Yours,Arctic Monkeys,96,album,12,09-09-2013
24,Mine (Taylor's Version),Taylor Swift,89,album,22,07-07-2023
25,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,89,single,1,02-06-2023
26,SABOR FRESA,Fuerza Regida,93,single,1,22-06-2023
27,Peso Pluma: Bzrp Music Sessions Vol. 55,Bizarrap & Peso Pluma,97,single,1,01-06-2023
28,Calm Down (with Selena Gomez),Rema,83,album,22,27-04-2023
29,Blank Space,Taylor Swift,84,album,13,27-10-2014
30,Style,Taylor Swift,84,album,13,27-10-2014
31,Anti-Hero,Taylor Swift,95,album,13,21-10-2022
32,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,album,15,02-12-2022
33,TQG,KAROL G,95,album,17,24-02-2023
34,Last Night,Morgan Wallen,90,album,36,03-03-2023
35,Los del Espacio,LIT killah,95,single,1,01-06-2023
36,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,89,album,17,06-09-2019
37,TULUM,Peso Pluma,89,album,17,29-06-2023
38,TQM,Fuerza Regida,95,single,1,19-05-2023
39,Like Crazy,Jimin,96,single,6,24-03-2023
40,I'm Good (Blue),David Guetta & Bebe Rexha,95,single,2,26-08-2022
41,Die For You (with Ariana Grande) - Remix,The Weeknd,88,album,21,14-03-2023
42,Angels Like You,Miley Cyrus,95,album,15,27-11-2020
43,Die For You,The Weeknd,92,album,18,24-11-2016
44,See You Again (feat. Kali Uchis),Tyler The Creator,96,album,14,21-07-2017
45,El Azul,Junior H & Peso Pluma,95,single,1,10-02-2023
46,Dance The Night (From Barbie The Album),Dua Lipa,94,single,1,25-05-2023
47,I Ain't Worried,OneRepublic,95,single,1,13-05-2022
48,Sparks Fly (Taylor’s Version),Taylor Swift,88,album,22,07-07-2023
49,Better Than Revenge (Taylor's Version),Taylor Swift,88,album,22,07-07-2023
50,Starboy,The Weeknd,94,album,18,25-11-2016
1,LALA,Myke Towers,95,album,23,23-03-2023
2,vampire,Olivia Rodrigo,97,single,1,30-06-2023
3,Cruel Summer,Taylor Swift,99,album,18,23-08-2019
4,WHERE SHE GOES,Bad Bunny,100,single,1,18-05-2023
5,Ella Baila Sola,Eslabon Armado,93,album,16,28-04-2023
6,Sprinter,Dave & Central Cee,96,single,1,01-06-2023
7,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,91,album,22,07-07-2023
8,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,single,2,17-03-2023
9,Flowers,Miley Cyrus,91,album,13,10-03-2023
10,Daylight,David Kushner,98,single,1,14-04-2023
11,un x100to,Grupo Frontera & Bad Bunny,99,single,1,17-04-2023
12,As It Was,Harry Styles,94,album,13,20-05-2022
13,Super Shy,NewJeans,89,single,2,07-07-2023
14,Columbia,Quevedo,88,single,1,07-07-2023
15,fukumean,Gunna,93,album,15,16-06-2023
16,Kill Bill,SZA,95,album,23,08-12-2022
17,Cupid - Twin Ver.,FIFTY FIFTY,98,single,3,24-02-2023
18,Classy 101,Feid & Young Miko,97,single,1,31-03-2023
19,LADY GAGA,Peso Pluma,91,album,17,29-06-2023
20,MOJABI GHOST,Tainy,92,album,19,29-06-2023
21,I Wanna Be Yours,Arctic Monkeys,96,album,12,09-09-2013
22,Peso Pluma: Bzrp Music Sessions Vol. 55,Bizarrap & Peso Pluma,97,single,1,01-06-2023
23,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,90,single,1,02-06-2023
24,SABOR FRESA,Fuerza Regida,93,single,1,22-06-2023
25,Blank Space,Taylor Swift,84,album,13,27-10-2014
26,Anti-Hero,Taylor Swift,95,album,13,21-10-2022
27,Style,Taylor Swift,84,album,13,27-10-2014
28,Enchanted (Taylor's Version),Taylor Swift,90,album,22,07-07-2023
29,Calm Down (with Selena Gomez),Rema,83,album,22,27-04-2023
30,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,album,15,02-12-2022
31,Back To December (Taylor's Version),Taylor Swift,90,album,22,07-07-2023
32,TQG,KAROL G,95,album,17,24-02-2023
33,Last Night,Morgan Wallen,90,album,36,03-03-2023
34,TQM,Fuerza Regida,95,single,1,19-05-2023
35,Los del Espacio,LIT killah,95,single,1,01-06-2023
36,TULUM,Peso Pluma,90,album,17,29-06-2023
37,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,89,album,17,06-09-2019
38,El Azul,Junior H & Peso Pluma,95,single,1,10-02-2023
39,I'm Good (Blue),David Guetta & Bebe Rexha,95,single,2,26-08-2022
40,Angels Like You,Miley Cyrus,95,album,15,27-11-2020
41,Die For You,The Weeknd,92,album,18,24-11-2016
42,See You Again (feat. Kali Uchis),Tyler The Creator,96,album,14,21-07-2017
43,Dance The Night (From Barbie The Album),Dua Lipa,94,single,1,25-05-2023
44,Mine (Taylor's Version),Taylor Swift,90,album,22,07-07-2023
45,I Ain't Worried,OneRepublic,95,single,1,13-05-2022
46,Die For You (with Ariana Grande) - Remix,The Weeknd,88,album,21,14-03-2023
47,Starboy,The Weeknd,94,album,18,25-11-2016
48,Another Love,Tom Odell,94,album,15,24-06-2013
49,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,94,single,2,06-04-2023
50,El Cielo,Sky Rompiendo & Feid & Myke Towers,94,single,1,02-06-2023
1,LALA,Myke Towers,95,album,23,23-03-2023
2,vampire,Olivia Rodrigo,98,single,1,30-06-2023
3,Cruel Summer,Taylor Swift,99,album,18,23-08-2019
4,WHERE SHE GOES,Bad Bunny,100,single,1,18-05-2023
5,Ella Baila Sola,Eslabon Armado,93,album,16,28-04-2023
6,Sprinter,Dave & Central Cee,97,single,1,01-06-2023
7,Flowers,Miley Cyrus,91,album,13,10-03-2023
8,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,single,2,17-03-2023
9,Columbia,Quevedo,89,single,1,07-07-2023
10,fukumean,Gunna,94,album,15,16-06-2023
11,un x100to,Grupo Frontera & Bad Bunny,99,single,1,17-04-2023
12,Daylight,David Kushner,98,single,1,14-04-2023
13,As It Was,Harry Styles,94,album,13,20-05-2022
14,Super Shy,NewJeans,90,single,2,07-07-2023
15,Kill Bill,SZA,95,album,23,08-12-2022
16,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,92,album,22,07-07-2023
17,Cupid - Twin Ver.,FIFTY FIFTY,98,single,3,24-02-2023
18,Classy 101,Feid & Young Miko,97,single,1,31-03-2023
19,LADY GAGA,Peso Pluma,91,album,17,29-06-2023
20,MOJABI GHOST,Tainy,92,album,19,29-06-2023
21,Peso Pluma: Bzrp Music Sessions Vol. 55,Bizarrap & Peso Pluma,97,single,1,01-06-2023
22,SABOR FRESA,Fuerza Regida,93,single,1,22-06-2023
23,I Wanna Be Yours,Arctic Monkeys,96,album,12,09-09-2013
24,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,90,single,1,02-06-2023
25,Calm Down (with Selena Gomez),Rema,83,album,22,27-04-2023
26,Anti-Hero,Taylor Swift,95,album,13,21-10-2022
27,Blank Space,Taylor Swift,84,album,13,27-10-2014
28,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,album,15,02-12-2022
29,Style,Taylor Swift,84,album,13,27-10-2014
30,Last Night,Morgan Wallen,90,album,36,03-03-2023
31,TQG,KAROL G,95,album,17,24-02-2023
32,TULUM,Peso Pluma,90,album,17,29-06-2023
33,Los del Espacio,LIT killah,95,single,1,01-06-2023
34,Dance The Night (From Barbie The Album),Dua Lipa,94,single,1,25-05-2023
35,Angels Like You,Miley Cyrus,95,album,15,27-11-2020
36,I'm Good (Blue),David Guetta & Bebe Rexha,95,single,2,26-08-2022
37,TQM,Fuerza Regida,95,single,1,19-05-2023
38,Enchanted (Taylor's Version),Taylor Swift,90,album,22,07-07-2023
39,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,89,album,17,06-09-2019
40,I Ain't Worried,OneRepublic,95,single,1,13-05-2022
41,See You Again (feat. Kali Uchis),Tyler The Creator,96,album,14,21-07-2017
42,El Azul,Junior H & Peso Pluma,95,single,1,10-02-2023
43,Die For You,The Weeknd,92,album,18,24-11-2016
44,Like Crazy,Jimin,96,single,6,24-03-2023
45,Frágil,Yahritza Y Su Esencia & Grupo Frontera,94,single,1,07-04-2023
46,Back To December (Taylor's Version),Taylor Swift,90,album,22,07-07-2023
47,El Cielo,Sky Rompiendo & Feid & Myke Towers,94,single,1,02-06-2023
48,Die For You (with Ariana Grande) - Remix,The Weeknd,88,album,21,14-03-2023
49,Starboy,The Weeknd,94,album,18,25-11-2016
50,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,94,single,2,06-04-2023
1,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,86,single,3,14-07-2023
2,LALA,Myke Towers,96,album,23,23-03-2023
3,vampire,Olivia Rodrigo,98,single,1,30-06-2023
4,Cruel Summer,Taylor Swift,99,album,18,23-08-2019
5,Ella Baila Sola,Eslabon Armado,93,album,16,28-04-2023
6,WHERE SHE GOES,Bad Bunny,100,single,1,18-05-2023
7,Columbia,Quevedo,90,single,1,07-07-2023
8,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,single,2,17-03-2023
9,un x100to,Grupo Frontera & Bad Bunny,99,single,1,17-04-2023
10,Sprinter,Dave & Central Cee,97,single,1,01-06-2023
11,Flowers,Miley Cyrus,91,album,13,10-03-2023
12,fukumean,Gunna,94,album,15,16-06-2023
13,As It Was,Harry Styles,94,album,13,20-05-2022
14,Super Shy,NewJeans,91,single,2,07-07-2023
15,Daylight,David Kushner,98,single,1,14-04-2023
16,Cupid - Twin Ver.,FIFTY FIFTY,98,single,3,24-02-2023
17,Kill Bill,SZA,95,album,23,08-12-2022
18,Classy 101,Feid & Young Miko,97,single,1,31-03-2023
19,What Was I Made For?,Billie Eilish,81,single,1,13-07-2023
20,LADY GAGA,Peso Pluma,92,album,17,29-06-2023
21,Like Crazy,Jimin,96,single,6,24-03-2023
22,Peso Pluma: Bzrp Music Sessions Vol. 55,Bizarrap & Peso Pluma,97,single,1,01-06-2023
23,SABOR FRESA,Fuerza Regida,93,single,1,22-06-2023
24,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,92,album,22,07-07-2023
25,Calm Down (with Selena Gomez),Rema,83,album,22,27-04-2023
26,MOJABI GHOST,Tainy,93,album,19,29-06-2023
27,TULUM,Peso Pluma,90,album,17,29-06-2023
28,Frágil,Yahritza Y Su Esencia & Grupo Frontera,94,single,1,07-04-2023
29,I Wanna Be Yours,Arctic Monkeys,96,album,12,09-09-2013
30,TQM,Fuerza Regida,95,single,1,19-05-2023
31,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,91,single,1,02-06-2023
32,TQG,KAROL G,95,album,17,24-02-2023
33,El Azul,Junior H & Peso Pluma,95,single,1,10-02-2023
34,Los del Espacio,LIT killah,95,single,1,01-06-2023
35,Last Night,Morgan Wallen,90,album,36,03-03-2023
36,Rush,Troye Sivan,78,single,1,13-07-2023
37,Anti-Hero,Taylor Swift,95,album,13,21-10-2022
38,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,album,15,02-12-2022
39,Blank Space,Taylor Swift,84,album,13,27-10-2014
40,Style,Taylor Swift,84,album,13,27-10-2014
41,I'm Good (Blue),David Guetta & Bebe Rexha,95,single,2,26-08-2022
42,Dance The Night (From Barbie The Album),Dua Lipa,94,single,1,25-05-2023
43,Tá OK,DENNIS & MC Kevin o Chris,93,single,1,04-05-2023
44,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,89,album,17,06-09-2019
45,See You Again (feat. Kali Uchis),Tyler The Creator,96,album,14,21-07-2017
46,I Ain't Worried,OneRepublic,95,single,1,13-05-2022
47,Angels Like You,Miley Cyrus,95,album,15,27-11-2020
48,El Cielo,Sky Rompiendo & Feid & Myke Towers,94,single,1,02-06-2023
49,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,94,single,2,06-04-2023
50,AMARGURA,KAROL G,92,album,17,24-02-2023
1,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto & BTS,91,single,3,14-07-2023
2,LALA,Myke Towers,97,album,23,23-03-2023
3,Cruel Summer,Taylor Swift,99,album,18,23-08-2019
4,vampire,Olivia Rodrigo,98,single,1,30-06-2023
5,Ella Baila Sola,Eslabon Armado,93,album,16,28-04-2023
6,WHERE SHE GOES,Bad Bunny,100,single,1,18-05-2023
7,Sprinter,Dave & Central Cee,97,single,1,01-06-2023
8,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,single,2,17-03-2023
9,un x100to,Grupo Frontera & Bad Bunny,99,single,1,17-04-2023
10,Columbia,Quevedo,91,single,1,07-07-2023
11,fukumean,Gunna,94,album,15,16-06-2023
12,Super Shy,NewJeans,91,single,2,07-07-2023
13,Daylight,David Kushner,98,single,1,14-04-2023
14,Flowers,Miley Cyrus,91,album,13,10-03-2023
15,Cupid - Twin Ver.,FIFTY FIFTY,98,single,3,24-02-2023
16,As It Was,Harry Styles,94,album,13,20-05-2022
17,Kill Bill,SZA,95,album,23,08-12-2022
18,What Was I Made For?,Billie Eilish,84,single,1,13-07-2023
19,Like Crazy,Jimin,96,single,6,24-03-2023
20,Classy 101,Feid & Young Miko,97,single,1,31-03-2023
21,LADY GAGA,Peso Pluma,92,album,17,29-06-2023
22,I Wanna Be Yours,Arctic Monkeys,96,album,12,09-09-2013
23,Peso Pluma: Bzrp Music Sessions Vol. 55,Bizarrap & Peso Pluma,97,single,1,01-06-2023
24,SABOR FRESA,Fuerza Regida,93,single,1,22-06-2023
25,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,92,album,22,07-07-2023
26,Frágil,Yahritza Y Su Esencia & Grupo Frontera,94,single,1,07-04-2023
27,El Azul,Junior H & Peso Pluma,95,single,1,10-02-2023
28,TULUM,Peso Pluma,91,album,17,29-06-2023
29,Calm Down (with Selena Gomez),Rema,83,album,22,27-04-2023
30,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd & Madonna,91,single,1,02-06-2023
31,Last Night,Morgan Wallen,90,album,36,03-03-2023
32,TQM,Fuerza Regida,95,single,1,19-05-2023
33,MOJABI GHOST,Tainy,93,album,19,29-06-2023
34,Style,Taylor Swift,84,album,13,27-10-2014
35,Anti-Hero,Taylor Swift,95,album,13,21-10-2022
36,Blank Space,Taylor Swift,84,album,13,27-10-2014
37,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,album,15,02-12-2022
38,TQG,KAROL G,95,album,17,24-02-2023
39,See You Again (feat. Kali Uchis),Tyler The Creator,95,album,14,21-07-2017
40,Rush,Troye Sivan,81,single,1,13-07-2023
41,Los del Espacio,LIT killah,95,single,1,01-06-2023
42,Angels Like You,Miley Cyrus,95,album,15,27-11-2020
43,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,89,album,17,06-09-2019
44,I Ain't Worried,OneRepublic,95,single,1,13-05-2022
45,Dance The Night (From Barbie The Album),Dua Lipa,94,single,1,25-05-2023
46,Die For You,The Weeknd,92,album,18,24-11-2016
47,Starboy,The Weeknd,94,album,18,25-11-2016
48,I'm Good (Blue),David Guetta & Bebe Rexha,95,single,2,26-08-2022
49,Die For You (with Ariana Grande) - Remix,The Weeknd,88,album,21,14-03-2023
50,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,88,album,12,06-10-2022
1,Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto & BTS,93,single,3,14-07-2023
2,LALA,Myke Towers,97,album,23,23-03-2023
3,Cruel Summer,Taylor Swift,99,album,18,23-08-2019
4,vampire,Olivia Rodrigo,98,single,1,30-06-2023
5,Ella Baila Sola,Eslabon Armado,93,album,16,28-04-2023
6,WHERE SHE GOES,Bad Bunny,100,single,1,18-05-2023
7,Sprinter,Dave & Central Cee,97,single,1,01-06-2023
8,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,single,2,17-03-2023
9,un x100to,Grupo Frontera & Bad Bunny,99,single,1,17-04-2023
10,Columbia,Quevedo,92,single,1,07-07-2023
11,fukumean,Gunna,94,album,15,16-06-2023
12,Super Shy,NewJeans,92,single,2,07-07-2023
13,Daylight,David Kushner,98,single,1,14-04-2023
14,Flowers,Miley Cyrus,91,album,13,10-03-2023
15,Cupid - Twin Ver.,FIFTY FIFTY,98,single,3,24-02-2023
16,As It Was,Harry Styles,94,album,13,20-05-2022
17,Kill Bill,SZA,95,album,23,08-12-2022
18,What Was I Made For?,Billie Eilish,86,single,1,13-07-2023
19,Like Crazy,Jimin,96,single,6,24-03-2023
20,Classy 101,Feid & Young Miko,97,single,1,31-03-2023
21,LADY GAGA,Peso Pluma,92,album,17,29-06-2023
22,I Wanna Be Yours,Arctic Monkeys,96,album,12,09-09-2013
23,Peso Pluma: Bzrp Music Sessions Vol. 55,Bizarrap & Peso Pluma,97,single,1,01-06-2023
24,SABOR FRESA,Fuerza Regida,94,single,1,22-06-2023
25,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,93,album,22,07-07-2023
26,Frágil,Yahritza Y Su Esencia & Grupo Frontera,94,single,1,07-04-2023
27,El Azul,Junior H & Peso Pluma,95,single,1,10-02-2023
28,TULUM,Peso Pluma,91,album,17,29-06-2023
